Extracting audio from 'eshg-2025-workshop-mark-kokoris-mc--17411'...
Transcribing audio to text...

[00:00:00.000 --> 00:00:06.920]   Welcome, everybody. So, a couple things. So, we did an introduction back in February, a webinar.
[00:00:06.920 --> 00:00:11.480]   There's quite a bit more detail in that that we'll cover here in terms of technical detail,
[00:00:11.480 --> 00:00:16.720]   especially John Mannion, who's on the right there. He went to a lot more data path kind of
[00:00:16.720 --> 00:00:20.960]   information there. So, check that out. If you haven't seen it, there's additional information.
[00:00:20.960 --> 00:00:27.140]   We also published the seminal preprint at the same time, and that covers the chemistry up through
[00:00:27.140 --> 00:00:34.600]   2020. It's a good read. If you're into the chemistry, I think it's a good thing to get more
[00:00:34.600 --> 00:00:39.580]   background on, as well as AGBT, where we kind of did the launch introduction to technology,
[00:00:39.580 --> 00:00:44.200]   where Hartwig and Broad and Sean presented, and he'll be presenting again here,
[00:00:44.200 --> 00:00:49.420]   covered a lot of good stuff there as well. So, a lot of good things to look at to get background.
[00:00:49.420 --> 00:00:55.740]   So, in that sense, I'll just really touch on the technology overview a lot faster this time,
[00:00:55.740 --> 00:00:59.140]   kind of trying to go through it pretty quick, because I want to be able to focus on some of
[00:00:59.140 --> 00:01:05.480]   the data we're going to show today. So, we'll do an update on the SBX duplex and the fast
[00:01:05.480 --> 00:01:09.360]   sequencing approaches. So, we've actually improved the data from even two or three months ago,
[00:01:09.360 --> 00:01:14.600]   and I think that'll be the theme, is we continue to advance the technology. We'll show some of our
[00:01:14.600 --> 00:01:20.960]   first-ever FFPET data that we generated using our duplex approach, as well as MRD, and then finish off
[00:01:20.960 --> 00:01:26.360]   with some simplex applications of RNA and DNA. So, that will be kind of the agenda for today.
[00:01:26.360 --> 00:01:31.700]   So, when we conceived of the idea, I've said this many times, it was born out of flexibility.
[00:01:31.700 --> 00:01:38.380]   We really wanted to do a single molecule approach that could flexibly sequence. You know, for me,
[00:01:38.380 --> 00:01:42.120]   I'd want to, if I wanted to sequence for four minutes, I'd want to be able to do that. Wouldn't want to wait
[00:01:42.120 --> 00:01:47.580]   around a couple days. I'm impatient. Or, you know, be able to sequence for several hours to get massive
[00:01:47.580 --> 00:01:53.360]   throughput. I wanted a technology that can do that. And so, that was the thinking for our approach to
[00:01:53.360 --> 00:01:57.860]   doing single molecule sequencing. Now, for every approach, you have to be thinking about performance.
[00:01:57.860 --> 00:02:02.460]   You have to be thinking about scaling into the future. And so, we'll cover on accuracy, and we'll
[00:02:02.460 --> 00:02:08.260]   talk about what we're doing. You know, update some of the F1 scores that we have using the genome-in-the-bottle
[00:02:08.260 --> 00:02:12.580]   samples. Quite, you know, they've improved quite a bit, even in just two or three months.
[00:02:13.280 --> 00:02:18.940]   Throughput, still very similar, 500 million bases per second throughput. And then we'll go into the
[00:02:18.940 --> 00:02:26.000]   distinction between that simplex reads and the duplex reads. Simplex being really longer, higher
[00:02:26.000 --> 00:02:32.860]   throughput, Q20 accuracy, whereas the duplex is the higher accuracy reads. We'll update on some
[00:02:32.860 --> 00:02:39.600]   urgent samples. Basically, this SBX fast approach, where we go from sample to VCF now in less than
[00:02:39.600 --> 00:02:44.900]   five hours. And Sean will cover a lot of that in some of his presentation as well. And then, of course,
[00:02:44.900 --> 00:02:49.600]   at the end of the day, cost efficiency. People ask this question a lot about what's the cost going to
[00:02:49.600 --> 00:02:55.800]   be. And of course, this is top of the mind for us. We have to be efficient, and the technology was built
[00:02:55.800 --> 00:03:01.520]   for that. We think about efficiencies in terms of measurement, the quality of the data as it comes out,
[00:03:01.520 --> 00:03:06.140]   so you can efficiently analyze the data coming out. All this has to come together if you're going to be
[00:03:06.140 --> 00:03:11.320]   able to drive your cost down. And that's critical. And of course, we want to be able to give people the kind of
[00:03:11.320 --> 00:03:17.060]   technology that they want moving forward. And that's key. Otherwise, I think, what's the point? So cost
[00:03:17.060 --> 00:03:24.180]   efficiency is critical. Critical element. So what is this? What is our approach to sequencing? It's the coming
[00:03:24.180 --> 00:03:30.340]   together of the stratogenomics, sequencing by expansion chemistry, with the Genia high-throughput sensor array.
[00:03:31.840 --> 00:03:35.700]   The way that looks, I don't know if you've gone to our booth, or you can see that we have both of the
[00:03:35.700 --> 00:03:41.420]   systems there. The SPX chemistry happens on the synthesis instrument, and then the sequencing on
[00:03:41.420 --> 00:03:45.940]   the sequencing instrument. Two separate approaches there, or systems there. And we actually think
[00:03:45.940 --> 00:03:50.540]   that's a more efficient way to run for the time being. Down into the future, you know, I would imagine
[00:03:50.540 --> 00:03:55.680]   we would have a system that could integrate both workflows for specific applications. But right now,
[00:03:55.760 --> 00:04:01.680]   our flexibility, we think, is maximized by keeping them separate. So the general approach was simple.
[00:04:01.680 --> 00:04:08.340]   Don't sequence DNA. I think if you want to do single molecule for us, was rescale the problem. It came down to
[00:04:08.340 --> 00:04:14.100]   signal-to-noise for us. How to adjust signal-to-noise of the measurement was the problem. So we created this new
[00:04:14.100 --> 00:04:20.820]   molecule called an expandomer, a surrogate for the DNA molecule, where we could rescale that measurement
[00:04:20.820 --> 00:04:28.940]   problem. At the time, nanopore really wasn't even still a thing in 2007. But over time, it seemed obvious to us
[00:04:28.940 --> 00:04:35.940]   that we wanted to translate the technology to a nanopore sequencing approach. And so, you know, very difficult
[00:04:35.940 --> 00:04:41.180]   protein molecular engineering to be able to achieve this. But when you get on the other side of it, it does open up a
[00:04:41.180 --> 00:04:47.700]   whole lot of possibilities on the measurement side. So how you do this, I think the key, one of the key elements is the
[00:04:47.700 --> 00:04:55.180]   expandable nucleotide, or XNTP. When we conceived the idea, it was really about putting a reporter code, a reporter
[00:04:55.180 --> 00:05:02.640]   tether, and attaching it at two places on a nucleotide, alpha phosphate for one, and off the heterocycle for a second, and
[00:05:02.640 --> 00:05:09.560]   then separate that with a cleavable bond. Okay, so that was kind of the beginning. Over time, as we directed more towards
[00:05:09.560 --> 00:05:14.100]   the nanopore measurement, we knew we wanted to have something that can control translocation as it moves through the
[00:05:14.100 --> 00:05:20.300]   nanopore. And so we put that translocation control element on there. And then, of course, over time, we learned that, you know,
[00:05:20.300 --> 00:05:21.580]   we really need to enhance
[00:05:21.580 --> 00:05:29.160]   the incorporation of these massive nucleotides, and so we built in enhancers. I can remember in 2014, going to a meeting at
[00:05:29.160 --> 00:05:35.400]   Roche, this is when we were still partnering and working together, showing a gel with an extension of a single XNTP.
[00:05:36.140 --> 00:05:40.840]   And I was really happy to show this. I mean, this was like, great, okay, we've made the XNTP, we can get a single extension.
[00:05:40.840 --> 00:05:46.540]   That's when we kind of realized, yeah, we need to enhance the incorporation of these nucleotides.
[00:05:46.540 --> 00:05:51.100]   And so we engineered those into the structure of the nucleotide, as well as many other things.
[00:05:51.100 --> 00:05:58.600]   And that's the basic, the foundation was really a molecular engineering exercise to make these modified nucleotides.
[00:05:58.700 --> 00:06:05.260]   Many other things came as well. I'm not going to cover all of it here, but there's a lot of other elements that you can get in some of the
[00:06:05.260 --> 00:06:07.640]   other talks that we've had, and certainly our paper.
[00:06:07.640 --> 00:06:15.760]   So the basic idea of the synthesis instrument is liquid handling reaction control system to synthesize the
[00:06:15.760 --> 00:06:21.600]   expandimer on this chip that we show in the top left panel there in the green box, as well as a bunch of reagents to
[00:06:21.600 --> 00:06:27.500]   basically support the biochemical synthesis and conversion of the DNA template into an expandimer.
[00:06:27.500 --> 00:06:34.320]   So it's pretty intuitive. You have an oligo on a surface, hybridize a template, throw in a cocktail of
[00:06:34.320 --> 00:06:41.880]   expandimer synthesis reagents to copy, do a template-dependent copying of the template, cleave at that amidate
[00:06:41.880 --> 00:06:48.060]   linkage I showed you earlier to expand, and use an orthogonal cleavage, photo cleavage, to release the
[00:06:48.060 --> 00:06:53.120]   expander from the support, releasing a pretty clean molecule as soon as you want to be able to measure this in a
[00:06:53.120 --> 00:06:57.400]   nanopore, and you don't want a lot of noise there. Another key element was, as I mentioned, was
[00:06:57.400 --> 00:07:03.620]   translocation control. You can see that little green triangle, a green arrow pointing to the triangle there,
[00:07:03.620 --> 00:07:10.660]   holding an expandimer in place. It's on the barrel side of the nanopore, embedded in a bilayer, so you can see it
[00:07:10.660 --> 00:07:15.660]   kind of holding it in place, so you can get good statistical sampling at a base voltage, so you can get that
[00:07:15.660 --> 00:07:22.000]   signal that you see with that green arrow showing where the G base is, and then with a very quick
